last                      credit      wus  last_change       credit_change    wus_change        ppd
2021-02-11 09:58:50  28739331246  1725796  1:42:35                  874884            28   12281068
2021-02-11 08:16:15  28738456362  1725768  2:00:05                 1012389            35   12140237
2021-02-11 06:16:10  28737443973  1725733  1:59:58                  767283            33    9209954
2021-02-11 04:16:12  28736676690  1725700  0:40:03                  383488            12   13788332
2021-02-11 03:36:09  28736293202  1725688  1:19:50                  669374            18   12073885
2021-02-11 02:16:19  28735623828  1725670  0:40:05                   68707            11    2468309
2021-02-11 01:36:14  28735555121  1725659  1:09:53                  328476            19    6768501
2021-02-11 00:26:21  28735226645  1725640  1:19:54                 1227342            35   22119805
2021-02-10 23:06:27  28733999303  1725605  1:00:12                 1459071            24   34901366
2021-02-10 22:06:15  28732540232  1725581  2:00:01                 1803478            45   21638730
2021-02-10 20:06:14  28730736754  1725536  1:30:04                 1210151            25   19348084
2021-02-10 18:36:10  28729526603  1725511  1:09:53                 1150387            25   23704611
2021-02-10 17:26:17  28728376216  1725486  1:10:07                  599920            16   12320676
2021-02-10 16:16:10  28727776296  1725470  2:10:04                 1902593            35   21064074
2021-02-10 14:06:06  28725873703  1725435  1:49:47                 2341576            33   30713855
2021-02-10 12:16:19  28723532127  1725402  2:10:02                 1691672            33   18733717
2021-02-10 10:06:17  28721840455  1725369  0:19:57                  411771             5   29721816
2021-02-10 09:46:20  28721428684  1725364  0:40:03                  887259            11   31901447
2021-02-10 09:06:17  28720541425  1725353  0:50:06                  483072            11   13884704
2021-02-10 08:16:11  28720058353  1725342  1:40:05                 1929694            27   27764456
2021-02-10 06:36:06  28718128659  1725315  0:29:49                  735547             9   35523343
2021-02-10 06:06:17  28717393112  1725306  1:50:07                 1826772            32   23888769
2021-02-10 04:16:10  28715566340  1725274  0:59:54                  759456            15   18257372
2021-02-10 03:16:16  28714806884  1725259  1:09:58                 1374327            22   28285338
2021-02-10 02:06:18  28713432557  1725237  0:30:01                  145677             7    6988613
2021-02-10 01:36:17  28713286880  1725230  1:10:04                  816962            17   16790084
2021-02-10 00:26:13  28712469918  1725213  1:29:54                 1765775            26   28283826
2021-02-09 22:56:19  28710704143  1725187  0:50:06                  708451             7   20362663
2021-02-09 22:06:13  28709995692  1725180  2:00:02                 1415697            30   16983646
2021-02-09 20:06:11  28708579995  1725150  1:39:56                22785921           210  328336153
2021-02-09 18:26:15  28685794074  1724940  1 day, 7:50:05         20882582           412   15743249
2021-02-08 10:36:10  28664911492  1724528  0:29:03                  331454             9   16430077
2021-02-08 10:07:07  28664580038  1724519  1:50:58                  603798            20    7835408
2021-02-08 08:16:09  28663976240  1724499  2:09:25                  766034            17    8523546
2021-02-08 06:06:44  28663210206  1724482  1:50:39                  996415            23   12967352
2021-02-08 04:16:05  28662213791  1724459  0:49:58                  305298             6    8798448
2021-02-08 03:26:07  28661908493  1724453  1:09:57                  494125            11   10172122
2021-02-08 02:16:10  28661414368  1724442  0:50:03                  718928            15   20684441
2021-02-08 01:26:07  28660695440  1724427  1:09:44                  641068            14   13238115
2021-02-08 00:16:23  28660054372  1724413  1:40:16                  943510            19   13550409
2021-02-07 22:36:07  28659110862  1724394  0:29:54                  202933             4    9773361
2021-02-07 22:06:13  28658907929  1724390  2:00:08                 1766158            27   21170373
2021-02-07 20:06:05  28657141771  1724363  1:39:54                 1337710            22   19282306
2021-02-07 18:26:11  28655804061  1724341  1:10:01                  554206            14   11398095
2021-02-07 17:16:10  28655249855  1724327  0:59:56                  620475            12   14907964
2021-02-07 16:16:14  28654629380  1724315  1:40:05                 1046766            18   15060879
2021-02-07 14:36:09  28653582614  1724297  0:30:08                  203003             4    9701028
2021-02-07 14:06:01  28653379611  1724293  1:49:52                 1732249            28   22704234
2021-02-07 12:16:09  28651647362  1724265  2:19:10                 1062189            19   10990793
