last                      credit      wus  last_change        credit_change    wus_change        ppd
2021-03-05 18:15:38  18531923333  1379982  0:49:48                   344262            11    9954563
2021-03-05 17:25:50  18531579071  1379971  1:40:12                  1693440            32   24336862
2021-03-05 15:45:38  18529885631  1379939  0:59:50                   805462            20   19384935
2021-03-05 14:45:48  18529080169  1379919  1:29:08                  1371833            34   22162747
2021-03-05 13:16:40  18527708336  1379885  0:50:57                   598267            17   16908821
2021-03-05 12:25:43  18527110069  1379868  0:09:15                    88817             3   13826646
2021-03-05 12:16:28  18527021252  1379865  2:00:21                  1274373            35   15248002
2021-03-05 10:16:07  18525746879  1379830  2:00:14                  1817130            38   21763242
2021-03-05 08:15:53  18523929749  1379792  1:10:15                   562046            25   11520942
2021-03-05 07:05:38  18523367703  1379767  1:59:52                  1315054            31   15798201
2021-03-05 05:05:46  18522052649  1379736  0:49:56                   318857            13    9195342
2021-03-05 04:15:50  18521733792  1379723  1:10:13                   996399            22   20434102
2021-03-05 03:05:37  18520737393  1379701  0:39:57                   167440             8    6035384
2021-03-05 02:25:40  18520569953  1379693  0:50:02                   669570            17   19270768
2021-03-05 01:35:38  18519900383  1379676  0:59:58                   618880            18   14861376
2021-03-05 00:35:40  18519281503  1379658  2:19:56                  1607210            37   16539178
2021-03-04 22:15:44  18517674293  1379621  2:10:07                  1348393            44   14922653
2021-03-04 20:05:37  18516325900  1379577  0:59:59                   419027            15   10059442
2021-03-04 19:05:38  18515906873  1379562  0:40:02                   678213            16   24395338
2021-03-04 18:25:36  18515228660  1379546  0:59:56                   532969            20   12805484
2021-03-04 17:25:40  18514695691  1379526  0:59:52                   689086            25   16574897
2021-03-04 16:25:48  18514006605  1379501  0:39:59                   571789            18   20592984
2021-03-04 15:45:49  18513434816  1379483  1:40:12                  1228197            35   17650735
2021-03-04 14:05:37  18512206619  1379448  0:49:57                   745384            17   21488547
2021-03-04 13:15:40  18511461235  1379431  0:59:54                  1091397            24   26237256
2021-03-04 12:15:46  18510369838  1379407  1:59:57                  1583918            43   19014938
2021-03-04 10:15:49  18508785920  1379364  2:00:11                  1566465            41   18768905
2021-03-04 08:15:38  18507219455  1379323  2:09:56                  1869304            40   20716760
2021-03-04 06:05:42  18505350151  1379283  0:59:56                   598793            13   14387017
2021-03-04 05:05:46  18504751358  1379270  1:00:01                   829365            10   19899232
2021-03-04 04:05:45  18503921993  1379260  1:50:04                  1209135            41   15819089
2021-03-04 02:15:41  18502712858  1379219  0:39:56                   558167            11   20127557
2021-03-04 01:35:45  18502154691  1379208  1:09:59                  1061032            26   21832142
2021-03-04 00:25:46  18501093659  1379182  1:40:02                   511917            26    7369148
2021-03-03 22:45:44  18500581742  1379156  0:40:00                   681562            13   24536232
2021-03-03 22:05:44  18499900180  1379143  2:00:12                  1020347            33   12223791
2021-03-03 20:05:32  18498879833  1379110  1:49:51                  1949799            31   25559495
2021-03-03 18:15:41  18496930034  1379079  0:49:56                   802718            23   23149143
2021-03-03 17:25:45  18496127316  1379056  1:50:09                  2394560            44   31304279
2021-03-03 15:35:36  18493732756  1379012  0:19:59                   414157            11   29844174
2021-03-03 15:15:37  18493318599  1379001  1:59:55                  2605752            47   31290753
2021-03-03 13:15:42  18490712847  1378954  2:10:08                  3021610            52   33435848
2021-03-03 11:05:34  18487691237  1378902  4:49:55                  4679859           103   23244600
2021-03-03 06:15:39  18483011378  1378799  1:09:58                   935519            19   19254130
2021-03-03 05:05:41  18482075859  1378780  0:59:57                   710484            10   17065837
2021-03-03 04:05:44  18481365375  1378770  0:10:03                   272736             3   39078591
2021-03-03 03:55:41  18481092639  1378767  0:59:58                   886174            18   21279998
2021-03-03 02:55:43  18480206465  1378749  1:20:07                  1017831            23   18294278
2021-03-03 01:35:36  18479188634  1378726  1:09:52                  1034790            22   21327732
2021-03-03 00:25:44  18478153844  1378704  1:50:07                  1555432            33   20340445
2021-03-02 22:35:37  18476598412  1378671  0:20:00                   181456            10   13064832
2021-03-02 22:15:37  18476416956  1378661  2:09:55                  1566126            33   17358984
2021-03-02 20:05:42  18474850830  1378628  1:00:09                   851636            21   20388293
2021-03-02 19:05:33  18473999194  1378607  0:49:59                   810375            13   23346582
2021-03-02 18:15:34  18473188819  1378594  0:59:56                   665460            15   15988805
2021-03-02 17:15:38  18472523359  1378579  0:59:57                   980740            23   23557391
2021-03-02 16:15:41  18471542619  1378556  0:29:59                   341846            10   16417728
2021-03-02 15:45:42  18471200773  1378546  1:00:00                   538515            17   12924360
2021-03-02 14:45:42  18470662258  1378529  1:19:57                  1717128            32   30927633
2021-03-02 13:25:45  18468945130  1378497  1:10:15                   875507            17   17946335
2021-03-02 12:15:30  18468069623  1378480  2:09:54                  1912339            44   21199139
2021-03-02 10:05:36  18466157284  1378436  0:59:59                  1040324            21   24974713
2021-03-02 09:05:37  18465116960  1378415  0:49:57                   781750            16   22536936
2021-03-02 08:15:40  18464335210  1378399  1:59:57                  1735654            33   20836529
2021-03-02 06:15:43  18462599556  1378366  1:10:06                   600548            14   12336506
2021-03-02 05:05:37  18461999008  1378352  0:50:00                   703012            12   20246745
2021-03-02 04:15:37  18461295996  1378340  1:40:04                  1203978            33   17325732
2021-03-02 02:35:33  18460092018  1378307  1:09:50                   812387            16   16751846
2021-03-02 01:25:43  18459279631  1378291  0:39:59                   822952            16   29638621
2021-03-02 00:45:44  18458456679  1378275  0:19:58                   192418             4   13877224
2021-03-02 00:25:46  18458264261  1378271  2:10:03                  1411497            32   15629032
